ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
-1,-15,-32,21,9,0,0,-1
2,8,7,6,-17,-6,-3,-1
-2,0,22,32,1,-7,-3,-2
3,3,36,58,6,6,2,1
0,6,-27,-69,-15,-3,0,2
0,-2,-17,5,-1,-4,-2,-2
-2,-4,-12,18,-10,1,1,0
11,27,59,49,-4,0,2,5
-7,-14,-37,-53,13,0,-6,-6
-6,-11,-25,11,-1,-9,-5,-3
2,-2,-1,-27,9,18,8,5
-6,-15,-43,8,10,4,2,-2
3,6,1,-14,-6,-2,0,1
0,9,10,6,-6,-7,-5,-2
0,-2,15,-1,7,-5,-3,0
-1,0,3,-38,-6,-4,-1,-1
0,7,11,19,2,4,2,2
0,-1,13,9,6,-2,-3,-1
2,8,15,6,-3,-2,5,-1
1,-7,31,-28,1,8,2,2
-7,-19,-9,-33,-11,-5,0,-2
0,3,11,-8,-4,0,-1,-2
-4,-6,24,-13,-23,-15,-7,-2
3,11,34,12,18,0,-1,1
1,4,4,40,6,2,-1,-2
4,2,-46,8,-18,6,8,2
5,11,4,-57,36,13,2,3
-6,-14,-20,-1,4,4,0,0
-1,6,69,61,5,0,-4,-2
-5,-9,-22,-48,-4,-4,-4,-2
1,-2,-21,18,3,5,3,-1
-1,-2,-16,-1,0,-2,-1,-1
3,9,-2,-80,-4,-2,-2,0
0,-2,-3,26,9,1,-3,0
-3,-5,15,20,-14,-4,-2,-2
2,-2,-10,-41,6,-2,0,0
0,1,2,27,-15,-3,0,-1
-1,-2,24,5,15,-3,-1,1
-1,1,-20,-35,-10,-4,-5,-1
-5,-13,-37,0,-6,-6,-2,-3
4,12,24,23,4,3,5,1
-4,-8,10,17,29,9,1,0
1,-5,-31,-32,-28,-7,-4,-4
-9,-11,9,-16,-20,-15,-8,-6
-1,-2,4,14,-6,-6,-1,0
2,8,-1,-2,-12,-1,0,0
4,8,24,40,44,16,8,5
-2,-6,-15,-61,-37,-9,-5,-3
-3,-9,-40,-39,-3,-4,-4,-1
2,6,19,48,-2,-3,0,-1
