ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
-1,5,1,-2,-1,-7,-6,0
3,5,0,0,0,-1,0,4
-2,-5,-1,0,2,6,7,1
6,8,0,-2,0,-3,-1,0
-9,2,2,-1,0,0,1,-6
-5,-17,-4,-2,-2,-2,-1,-1
-1,2,-9,-4,-2,-4,-4,-1
1,-1,0,1,2,4,1,2
-1,-1,0,1,1,0,-3,-3
5,8,4,-1,-5,1,1,4
-4,-6,2,3,1,2,2,-1
-4,-9,-14,-3,-2,-8,-3,-3
4,4,0,-2,0,-10,-5,1
-3,-7,-3,1,0,3,-1,-3
6,8,4,-1,2,3,0,3
-2,9,2,-2,-9,0,3,-1
2,-9,-3,0,-1,0,2,0
-5,-5,-5,-4,-4,-4,-5,-1
2,12,1,1,3,6,2,-1
-6,-12,8,3,7,2,-2,-1
-4,-14,-12,-2,-4,0,0,-2
1,8,5,2,5,6,4,0
4,10,6,0,-3,-3,-2,1
-1,-6,-5,-1,0,1,-1,-3
-8,-22,-5,-2,-5,-6,-3,-4
-3,-6,-5,-1,0,-5,-1,-1
-3,-9,-4,3,7,9,1,-1
2,13,9,2,-1,-5,-1,0
7,5,2,0,-1,0,-1,2
0,-6,-2,-3,-4,-4,-2,2
0,3,5,0,0,-6,0,-1
0,-5,-3,0,3,8,2,1
-1,7,1,1,2,0,-2,1
-4,-15,-12,-2,-5,0,1,-1
4,-5,-1,1,1,0,2,2
-1,11,5,0,1,0,-3,-2
-4,1,-7,-3,-3,-2,1,-4
3,9,7,2,6,1,-2,2
-5,-13,-6,-2,-4,-7,-6,-3
1,6,3,-2,-3,0,-1,0
5,3,4,-1,0,1,2,5
-4,7,2,-1,-1,0,1,-2
-1,5,-4,-3,3,13,2,0
-4,-5,-4,0,1,-11,-4,-3
-6,-17,-8,-2,-4,-2,-1,-1
0,-4,0,-1,-2,-2,-3,0
1,5,4,-1,-1,-7,-2,1
4,4,0,-2,-4,1,1,0
2,7,0,1,5,5,2,0
-3,-7,-3,1,3,-2,-1,-3
