ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
-1,0,-2,1,-5,1,-49,21
1,-3,-4,-2,2,3,53,-5
0,-1,1,-2,-1,-5,-7,-22
0,1,-2,1,-2,-4,-24,19
-5,-1,0,2,-1,2,84,10
-2,-1,-7,-3,0,-2,-76,-32
0,-1,-2,0,2,4,13,35
0,0,1,-4,-2,-5,-23,-4
-22,-2,1,1,3,-1,-18,-28
5,1,5,3,-1,-2,-46,26
1,-1,-2,-2,2,2,54,-11
-5,1,-4,-1,0,4,58,-13
-6,-4,-4,-7,-5,-5,-48,34
6,-7,2,4,2,6,87,-25
22,4,-1,1,-1,-2,-15,8
-31,-6,0,-3,3,1,-26,10
-2,1,1,-1,-1,-1,7,-24
-7,-2,-2,-1,-3,-7,-63,-16
16,1,-1,-3,-5,1,35,24
14,6,5,0,6,-2,-75,15
19,0,-4,-1,-3,2,-6,-5
-26,1,1,0,1,-6,-77,17
-24,-8,-2,0,-2,-5,3,-18
-4,-9,-2,-1,0,-1,11,4
13,4,1,-2,-1,-6,-9,-39
-3,-1,0,-1,-2,-1,28,36
-6,1,0,2,2,5,25,-14
-12,2,-5,-4,-1,-4,46,68
-6,-7,-5,1,1,1,7,2
3,5,2,0,0,2,12,-26
-3,0,-1,0,0,-3,-25,11
16,-1,1,2,-1,0,7,-23
-33,-3,-1,-3,-1,1,-29,14
7,0,-6,-2,-1,-1,5,10
-8,-7,-5,-4,-4,-5,-17,-8
-5,4,-1,0,1,-1,19,-8
4,2,0,2,2,3,-1,-4
5,7,1,-1,-2,4,12,-7
-7,-12,3,0,2,-2,-57,-21
-20,-2,-3,0,0,7,89,16
10,3,0,0,-2,-4,-82,-14
-9,-9,-2,-2,0,-1,33,4
16,1,5,6,-1,7,53,-44
4,-1,2,0,-1,-5,-41,17
4,3,-1,0,6,1,13,23
-4,-2,-2,-4,-4,7,89,-3
4,6,-2,2,1,-2,-25,15
10,-7,-7,-2,-3,-1,-24,2
-4,0,2,1,1,-1,-26,-3
9,0,4,0,0,-7,-30,-16
