ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
3,5,11,2,-1,5,1,-2
-5,-9,-2,2,6,7,0,3
2,7,-1,-3,-4,-3,-1,2
-4,-9,-8,-5,-4,-8,-2,-1
-1,-4,-1,4,2,0,-1,-2
3,-2,2,-1,0,0,2,1
-4,-4,-7,-4,-4,-1,-5,-5
-8,-7,-6,-5,-2,0,1,-1
1,6,5,6,1,3,2,2
1,2,2,2,1,3,2,-1
3,13,-1,2,-1,-3,5,2
0,0,10,-1,-2,-4,-5,0
-7,-11,-16,-5,-1,1,-1,-3
0,7,1,-1,-3,-2,-3,0
1,-4,2,0,-1,-3,-1,-1
1,5,5,2,4,12,6,0
7,5,1,-1,-2,-13,-3,3
-1,0,1,0,-1,3,-1,-3
-3,-17,-6,0,-2,-2,0,0
-2,4,1,0,1,-1,-3,-3
-2,-6,-3,0,1,5,4,1
-3,-9,-10,-2,-3,2,1,-2
0,6,6,-3,-2,-2,-1,-4
2,0,-4,-3,-7,-7,-4,-1
-1,-5,-3,-2,1,-2,-3,0
-1,-4,4,0,-1,1,-3,-2
-2,-14,-3,-2,0,0,-2,2
-2,-7,-3,-2,-1,0,-3,-2
-1,6,-3,-5,-3,-5,-4,-2
0,-2,-1,0,0,-6,3,2
4,12,5,4,10,14,5,4
0,-16,-5,1,-2,-2,0,0
3,3,4,0,-4,-4,-5,-3
-4,-14,-5,1,2,5,2,0
-2,2,0,-3,-3,-7,-3,-1
2,5,-3,-1,-4,-10,-2,2
-2,-4,-2,1,3,7,-3,-1
2,2,1,1,1,1,6,0
2,9,6,-1,0,0,0,1
-4,-11,-8,1,-3,5,-2,-2
-1,1,2,-1,1,-9,-4,-2
1,0,2,0,0,6,4,2
3,-6,-6,0,0,1,1,1
2,12,4,-3,-5,-5,-5,-2
-3,5,2,-2,-1,-2,4,-1
-4,-3,1,1,5,6,0,-1
1,-14,-4,2,0,1,-1,-2
1,3,0,0,-3,-2,3,-1
-2,-4,-2,0,-4,-2,-4,-2
-1,5,1,-1,-4,-5,-5,-2
